"filename", "language", "TypeScript", "JSON", "JSON with Comments", "HTML", "Vue", "Python", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\main.py", "Python", 0, 0, 0, 0, 0, 261, 0, 0, 0, 52, 51, 364
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-B7s-uG_1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 1, 27
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-BKCEzGor.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-BU8tcxCA.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 1, 27
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-B_Jg5fsH.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 1, 32
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-BbmuV81X.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-BoQBxV1L.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-Bp1bv30h.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 1, 22
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-C9u7-wU9.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-CovWgdaA.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 1, 27
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-CrbKm4SS.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 1, 22
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-D-WCQn_T.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-DHtbpgJ6.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-DQ--Hxx3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 1, 22
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-EnBmE0nO.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-m_P8RdWr.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 1, 27
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\assets\index-uqEM1Dcu.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\PYweb\web\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 14, 34
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\auto-imports.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 10
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\components.d.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 25
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\package-lock.json", "JSON", 0, 3706, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3707
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\App.vue", "Vue", 0, 0, 0, 0, 72, 0, 0, 0, 0, 6, 12, 90
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\CardComponent.vue", "Vue", 0, 0, 0, 0, 103, 0, 0, 0, 0, 6, 14, 123
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\ImageUploader.vue", "Vue", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 10, 76
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\Notification.vue", "Vue", 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 9, 66
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\PercentageGroup.vue", "Vue", 0, 0, 0, 0, 56, 0, 0, 0, 0, 2, 8, 66
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\RippleButton.vue", "Vue", 0, 0, 0, 0, 97, 0, 0, 0, 0, 6, 12, 115
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\SimpleCard.vue", "Vue", 0, 0, 0, 0, 44, 0, 0, 0, 0, 6, 5, 55
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\WifiLoader.vue", "Vue", 0, 0, 0, 0, 187, 0, 0, 0, 0, 2, 42, 231
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\三百分比卡片\CardGroup.vue", "Vue", 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 4, 36
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\三百分比卡片\temp.vue", "Vue", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 13, 106
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\图标\atom.vue", "Vue", 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 7, 42
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\components\音乐\audioPlayer.vue", "Vue", 0, 0, 0, 0, 241, 0, 0, 0, 0, 9, 7, 257
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\main.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\router\index.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\styles\variables.css", "CSS", 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 6, 52
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Animation.vue", "Vue", 0, 0, 0, 0, 106, 0, 0, 0, 0, 12, 18, 136
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Page1.vue", "Vue", 0, 0, 0, 0, 293, 0, 0, 0, 0, 19, 23, 335
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Page2.vue", "Vue", 0, 0, 0, 0, 129, 0, 0, 0, 0, 4, 24, 157
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Page3.vue", "Vue", 0, 0, 0, 0, 94, 0, 0, 0, 0, 8, 14, 116
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Show.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Test.vue", "Vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 1, 8, 66
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\tsconfig.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\vite.config.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 31
"Total", "-", 79, 3774, 11, 27, 1762, 261, 53, 20, 78, 273, 349, 6687